what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382296765425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382297370905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382297373034
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1382297630210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1382297630407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382298216956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382299172708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382299174277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382299295274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382299365585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382299393633
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382299580472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382299735232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382301791688
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1382301795168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382301815409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382301815563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1382301846553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1382301847092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1382301847468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1382301850033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382302352051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306563318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306563344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306808878
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1382306813660
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1382306813748
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1382306815080
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1382306815480
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1382306815527
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1382306815769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306815771
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1382306816050
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1382306816082
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1382306842242
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1382306842276
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1382306846328
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1382306846945
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1382306847295
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1382306847523
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1382306847969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306858880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306865083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306867506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306868701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306954873
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382306957379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306966374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306973599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306974004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306975559
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382306977595
stopped,bundle,org.eclipse.mylyn.ide.ant,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ant",1382306981674
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1382306981773
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1382306981848
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1382306982270
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1382306982270
stopped,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1382306982399
stopped,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1382306982399
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1382306982399
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1382306982464
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1382306982503
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1382306982503
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1382306982503
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1382306982599
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1382307176095
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1382307176100
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1382307176101
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1382307176102
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1382307176103
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1382307176104
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1382307176105
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1382307176122
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1382307176125
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1382307176126
